Year,Schweiz,Global,Risiko,Nachhaltigkeit,Klima,Diversity,Steuern,Bankgeheimnis,USA,Finanzkrise,(US-)Wohnungsmarkt,Rezession,Inflation,Negativzins,Kunde,Talent,Aktionär,Dividende,Reputation,Verantwortung,Kultur,Whistleblower,Rechtsfälle,Libor,Verboten,Negativ,Positiv,Zuflüsse,Abflüsse,Verlust,Gewinn,Digitalisierung,Investmentbank,Vermögensverwaltung,Wachstum,DRCM,Nachrichtenlose Vermögen,Weltkrieg,Finma / EBK,Regulator / Aufseher,Demut,Stolz,Bescheidenheit,Liquidität,Basel,Zürich,London,New York,Ruhen,Total_Length
2009,0.007251153592617007,0.0032959789057350032,0.007251153592617007,0.0006591957811470006,0.0,0.0,0.0023071852340145024,0.0,0.006921555702043507,0.0006591957811470006,0.0,0.0,0.0,0.0,0.004614370468029005,0.0003295978905735003,0.0036255767963085037,0.0,0.0016479894528675016,0.0003295978905735003,0.0003295978905735003,0.0,0.0,0.0,0.0,0.0016479894528675016,0.001977587343441002,0.0,0.0016479894528675016,0.002966381015161503,0.0023071852340145024,0.0016479894528675016,0.006921555702043507,0.00922874093605801,0.0006591957811470006,0.0,0.0,0.0,0.0,0.0003295978905735003,0.0,0.0,0.0,0.0003295978905735003,0.0,0.000988793671720501,0.0003295978905735003,0.0016479894528675016,0.0,3034
2010,0.0050525464834276475,0.005254648342764754,0.003839935327405012,0.0006063055780113178,0.0,0.0002021018593371059,0.001818916734033953,0.0,0.0034357316087308,0.0002021018593371059,0.0,0.0,0.0,0.0,0.010307194826192401,0.0006063055780113178,0.0032336297493936943,0.0,0.0008084074373484236,0.0012126111560226355,0.0004042037186742118,0.0,0.0006063055780113178,0.0,0.0,0.0008084074373484236,0.0014147130153597412,0.0002021018593371059,0.0006063055780113178,0.001818916734033953,0.0016168148746968471,0.002425222312045271,0.003839935327405012,0.0074777687954729185,0.0008084074373484236,0.0,0.0,0.0,0.0002021018593371059,0.0,0.0,0.0,0.0,0.0004042037186742118,0.0006063055780113178,0.001818916734033953,0.0004042037186742118,0.0008084074373484236,0.0014147130153597412,4948
2011,0.008461684730937441,0.007606008746910059,0.0027571781707548962,0.0009507510933637574,0.0,0.0005704506560182544,0.0008556759840273817,0.0,0.003612854154782278,0.00038030043734550294,9.507510933637573e-05,9.507510933637573e-05,0.0,0.0,0.013215440197756228,9.507510933637573e-05,0.0006655257653546302,0.0002852253280091272,0.0008556759840273817,0.0009507510933637574,0.0002852253280091272,0.0,0.0,0.0,0.0005704506560182544,0.0006655257653546302,0.0006655257653546302,0.0,0.0,0.0007606008746910059,0.0004753755466818787,0.0012359764213728847,0.007796158965582811,0.00579958166951892,0.0006655257653546302,0.0007606008746910059,0.0,0.00019015021867275147,0.00019015021867275147,9.507510933637573e-05,0.0,9.507510933637573e-05,0.0,0.00038030043734550294,0.002852253280091272,0.0009507510933637574,0.0006655257653546302,0.0009507510933637574,9.507510933637573e-05,10518
2012,0.007496463932107496,0.006082036775106082,0.002545968882602546,0.0018387553041018388,0.0,0.0,0.0002828854314002829,0.0,0.0021216407355021216,0.0004243281471004243,0.0,0.00014144271570014144,0.0,0.0,0.005091937765205092,0.0002828854314002829,0.0011315417256011315,0.00014144271570014144,0.0007072135785007072,0.0015558698727015559,0.0,0.0,0.00014144271570014144,0.00014144271570014144,0.00014144271570014144,0.00014144271570014144,0.00014144271570014144,0.0,0.0,0.0005657708628005657,0.0004243281471004243,0.0015558698727015559,0.0039603960396039604,0.003536067892503536,0.001272984441301273,0.0,0.00014144271570014144,0.0,0.00014144271570014144,0.00014144271570014144,0.0,0.0,0.0,0.0004243281471004243,0.002545968882602546,0.0018387553041018388,0.0008486562942008486,0.0014144271570014145,0.0,7070
2013,0.00950191570881226,0.004904214559386973,0.002758620689655172,0.003524904214559387,0.0003065134099616858,0.0006130268199233716,0.0007662835249042146,0.0,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.01318007662835249,0.0001532567049808429,0.0026053639846743294,0.0003065134099616858,0.0007662835249042146,0.001992337164750958,0.003524904214559387,0.0,0.0,0.0,0.0001532567049808429,0.0001532567049808429,0.0012260536398467432,0.0001532567049808429,0.0,0.0003065134099616858,0.0003065134099616858,0.0018390804597701149,0.002758620689655172,0.004137931034482759,0.0006130268199233716,0.0,0.0,0.0,0.0004597701149425287,0.0003065134099616858,0.0,0.0003065134099616858,0.0,0.0003065134099616858,0.002145593869731801,0.0012260536398467432,0.0003065134099616858,0.0009195402298850574,0.0,6525
2014,0.007406101216716628,0.005995415270675366,0.005113736554399576,0.005113736554399576,0.0008816787162757891,0.00017633574325515782,0.0012343502027861047,0.0,0.0022923646623170518,0.00017633574325515782,0.0,0.0,0.0,0.0,0.007406101216716628,0.00017633574325515782,0.001939693175806736,0.0008816787162757891,0.0005290072297654734,0.0008816787162757891,0.0021160289190618937,0.0,0.0,0.0,0.00017633574325515782,0.0005290072297654734,0.0014106859460412625,0.0,0.0,0.00017633574325515782,0.0010580144595309468,0.0031740433785928408,0.002997707635337683,0.0035267148651031564,0.0007053429730206313,0.0,0.0,0.00017633574325515782,0.00035267148651031563,0.00035267148651031563,0.0,0.0005290072297654734,0.0,0.0,0.0008816787162757891,0.0008816787162757891,0.00017633574325515782,0.0010580144595309468,0.0,5671
2015,0.007732243455208218,0.004087042969181487,0.004087042969181487,0.005191649177068375,0.00022092124157737766,0.0004418424831547553,0.0005523031039434442,0.0,0.002209212415773777,0.00033138186236606647,0.0,0.0,0.0,0.0,0.008174085938362973,0.0004418424831547553,0.0016569093118303324,0.00022092124157737766,0.0016569093118303324,0.0017673699326190213,0.003313818623660665,0.0,0.00022092124157737766,0.00011046062078868883,0.00022092124157737766,0.0007732243455208218,0.0011046062078868884,0.0,0.00011046062078868883,0.00033138186236606647,0.0007732243455208218,0.0027615155197172206,0.0028719761405059095,0.004528885452336242,0.0009941455870981996,0.0,0.0,0.0,0.0005523031039434442,0.0013255274494642659,0.0,0.00011046062078868883,0.0,0.00011046062078868883,0.0008836849663095106,0.00033138186236606647,0.00022092124157737766,0.0004418424831547553,0.0,9053
2016,0.004766839378238342,0.0019689119170984456,0.005699481865284974,0.004559585492227979,0.0002072538860103627,0.0004145077720207254,0.001243523316062176,0.0,0.0016580310880829016,0.0002072538860103627,0.0,0.0,0.0,0.0,0.009637305699481865,0.0002072538860103627,0.001450777202072539,0.0002072538860103627,0.0005181347150259067,0.001450777202072539,0.002694300518134715,0.0,0.000621761658031088,0.0,0.0,0.0009326424870466321,0.0008290155440414508,0.0,0.0,0.000310880829015544,0.0004145077720207254,0.001243523316062176,0.0021761658031088085,0.004766839378238342,0.0018652849740932642,0.0,0.0,0.0,0.0,0.000621761658031088,0.0,0.0,0.0,0.0,0.0002072538860103627,0.000621761658031088,0.0,0.00010362694300518135,0.0,9650
2017,0.005567740846971487,0.006917496203813059,0.004555424329340307,0.0037118272313143245,0.001181035937236376,0.0005061582588155897,0.0020246330352623586,0.0,0.0028682301332883416,0.00016871941960519654,0.0,0.0,0.0,0.0,0.006580057364602666,0.0005061582588155897,0.0020246330352623586,0.0008435970980259828,0.0005061582588155897,0.001518474776446769,0.001518474776446769,0.0,0.0,0.0,0.00016871941960519654,0.00016871941960519654,0.0006748776784207862,0.0,0.0,0.0003374388392103931,0.0010123165176311793,0.003205668972498735,0.0026995107136831447,0.006242618525392272,0.0016871941960519656,0.0,0.0,0.0,0.0003374388392103931,0.0008435970980259828,0.0,0.0003374388392103931,0.0,0.0003374388392103931,0.0,0.0010123165176311793,0.0005061582588155897,0.0006748776784207862,0.0,5927
2018,0.004927211646136618,0.005151175811870101,0.0026875699888017916,0.00761478163493841,0.0,0.00022396416573348266,0.0008958566629339306,0.0,0.0015677491601343784,0.0,0.0,0.00022396416573348266,0.0,0.0,0.009854423292273236,0.00022396416573348266,0.0013437849944008958,0.00022396416573348266,0.00022396416573348266,0.0013437849944008958,0.0011198208286674132,0.0,0.0004479283314669653,0.0,0.00022396416573348266,0.0004479283314669653,0.0015677491601343784,0.0,0.0,0.0004479283314669653,0.0008958566629339306,0.0058230683090705485,0.0033594624860022394,0.006718924972004479,0.0004479283314669653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022396416573348266,0.0,0.0008958566629339306,0.0008958566629339306,0.00022396416573348266,0.0,4465
2019,0.005717008099094807,0.0064316341114816575,0.005955216769890424,0.018580276322058123,0.0019056693663649356,0.0011910433539780848,0.0011910433539780848,0.0,0.0004764173415912339,0.0,0.0,0.0,0.0,0.0,0.005955216769890424,0.00023820867079561695,0.0016674606955693187,0.0004764173415912339,0.0004764173415912339,0.0026202953787517864,0.0014292520247737017,0.0,0.0004764173415912339,0.0,0.0,0.00023820867079561695,0.0011910433539780848,0.0,0.0,0.00023820867079561695,0.0009528346831824678,0.0016674606955693187,0.0021438780371605525,0.0035731300619342545,0.0021438780371605525,0.0,0.0,0.0,0.0,0.00023820867079561695,0.0,0.0007146260123868509,0.0,0.00023820867079561695,0.0004764173415912339,0.0009528346831824678,0.0011910433539780848,0.0011910433539780848,0.0,4198
2020,0.005148667782211353,0.007336851589651178,0.003604067447547947,0.0087527352297593,0.0007723001673317029,0.002188183807439825,0.00038615008366585146,0.0,0.0033466340584373793,0.0,0.0,0.0,0.0,0.0,0.011713219204530828,0.00012871669455528383,0.0006435834727764191,0.0,0.0005148667782211353,0.0012871669455528382,0.003732784142103231,0.0,0.00012871669455528383,0.0,0.00012871669455528383,0.0018020337237739735,0.0019307504183292573,0.0,0.0,0.0005148667782211353,0.00012871669455528383,0.003732784142103231,0.0032179173638820957,0.0029604839747715277,0.0006435834727764191,0.0,0.0,0.0,0.00012871669455528383,0.00038615008366585146,0.0,0.00025743338911056766,0.0,0.00038615008366585146,0.00038615008366585146,0.0006435834727764191,0.0,0.0007723001673317029,0.0,7769
